text_input,palette,palette_lab,palette_lab_reorder
['watermelon'],"[(20, 178, 5), (255, 0, 0), (255, 0, 0), (255, 0, 0), (20, 176, 23)]","[[162, 63, 191], [136, 208, 195], [136, 208, 195], [136, 208, 195], [160, 65, 188]]","[[136, 208, 195], [136, 208, 195], [136, 208, 195], [160, 65, 188], [162, 63, 191]]"
['bee'],"[(240, 255, 0), (19, 18, 18), (240, 255, 0), (2, 1, 1), (240, 255, 0)]","[[245, 100, 221], [14, 128, 128], [245, 100, 221], [1, 128, 128], [245, 100, 221]]","[[1, 128, 128], [14, 128, 128], [245, 100, 221], [245, 100, 221], [245, 100, 221]]"
"['silver', 'and', 'gold']","[(190, 199, 199), (198, 199, 190), (204, 202, 172), (208, 199, 146), (214, 195, 114)]","[[203, 125, 127], [204, 126, 132], [206, 124, 143], [203, 123, 156], [201, 124, 171]]","[[201, 124, 171], [203, 123, 156], [203, 125, 127], [204, 126, 132], [206, 124, 143]]"
"['shuffle', 'maniac']","[(85, 85, 255), (0, 0, 0), (85, 255, 85), (255, 255, 85), (170, 0, 0)]","[[119, 179, 44], [0, 128, 128], [227, 54, 194], [248, 109, 205], [89, 187, 177]]","[[0, 128, 128], [89, 187, 177], [119, 179, 44], [227, 54, 194], [248, 109, 205]]"
"['monochrome', 'ash']","[(0, 0, 0), (39, 39, 39), (92, 89, 89), (150, 147, 147), (201, 199, 199)]","[[0, 128, 128], [40, 128, 128], [97, 129, 128], [156, 129, 128], [205, 129, 128]]","[[0, 128, 128], [40, 128, 128], [97, 129, 128], [156, 129, 128], [205, 129, 128]]"
"['winter', 'came', 'back']","[(119, 133, 146), (128, 150, 163), (161, 191, 185), (201, 201, 192), (225, 225, 215)]","[[140, 126, 119], [155, 123, 119], [191, 117, 128], [206, 126, 132], [228, 126, 133]]","[[140, 126, 119], [155, 123, 119], [191, 117, 128], [206, 126, 132], [228, 126, 133]]"
"['sea', 'monster']","[(127, 148, 114), (117, 159, 101), (122, 193, 124), (135, 201, 169), (121, 234, 191)]","[[150, 114, 144], [156, 102, 154], [184, 92, 156], [194, 100, 137], [218, 86, 139]]","[[150, 114, 144], [156, 102, 154], [184, 92, 156], [194, 100, 137], [218, 86, 139]]"
"['black', 'squirrel']","[(84, 57, 31), (73, 59, 49), (60, 50, 46), (54, 42, 38), (47, 31, 28)]","[[68, 137, 149], [66, 132, 137], [55, 132, 132], [47, 133, 133], [35, 135, 133]]","[[35, 135, 133], [47, 133, 133], [55, 132, 132], [66, 132, 137], [68, 137, 149]]"
['dragons'],"[(95, 164, 184), (48, 206, 146), (63, 229, 133), (65, 244, 95), (102, 255, 67)]","[[162, 112, 111], [189, 74, 147], [207, 65, 163], [218, 55, 186], [228, 56, 201]]","[[162, 112, 111], [189, 74, 147], [207, 65, 163], [218, 55, 186], [228, 56, 201]]"
['electric'],"[(163, 0, 255), (111, 0, 255), (86, 0, 255), (0, 120, 255), (0, 159, 255)]","[[116, 214, 43], [99, 210, 31], [93, 209, 27], [134, 152, 54], [162, 128, 71]]","[[93, 209, 27], [99, 210, 31], [116, 214, 43], [134, 152, 54], [162, 128, 71]]"
['peach'],"[(246, 161, 146), (246, 176, 146), (246, 196, 146), (246, 207, 146), (246, 217, 146)]","[[189, 158, 149], [198, 150, 154], [210, 139, 160], [217, 134, 163], [223, 129, 167]]","[[189, 158, 149], [198, 150, 154], [210, 139, 160], [217, 134, 163], [223, 129, 167]]"
"['cranberry', 'cabin']","[(231, 189, 135), (189, 151, 102), (141, 107, 64), (176, 79, 79), (150, 54, 54)]","[[202, 136, 161], [165, 136, 159], [122, 136, 157], [118, 168, 147], [94, 168, 150]]","[[94, 168, 150], [118, 168, 147], [122, 136, 157], [165, 136, 159], [202, 136, 161]]"
"['yellow', 'dreams']","[(227, 244, 0), (235, 240, 0), (244, 248, 0), (231, 248, 0), (212, 255, 0)]","[[235, 100, 218], [234, 105, 218], [241, 105, 220], [238, 100, 219], [240, 89, 219]]","[[234, 105, 218], [235, 100, 218], [238, 100, 219], [240, 89, 219], [241, 105, 220]]"
"['glowing', 'sapphire']","[(0, 0, 0), (159, 159, 159), (161, 255, 248), (0, 255, 236), (0, 56, 255)]","[[0, 128, 128], [167, 128, 128], [240, 99, 123], [231, 75, 123], [97, 190, 30]]","[[0, 128, 128], [97, 190, 30], [167, 128, 128], [231, 75, 123], [240, 99, 123]]"
"['favorite', 'spring']","[(255, 255, 145), (255, 198, 198), (218, 255, 155), (255, 185, 150), (163, 197, 255)]","[[250, 113, 180], [216, 148, 136], [244, 100, 172], [206, 149, 156], [201, 130, 96]]","[[201, 130, 96], [206, 149, 156], [216, 148, 136], [244, 100, 172], [250, 113, 180]]"
"['fear', 'of', 'the', 'nothing', 'death']","[(171, 0, 0), (66, 1, 1), (36, 0, 0), (0, 0, 0), (0, 0, 0)]","[[90, 187, 178], [27, 158, 144], [9, 143, 133], [0, 128, 128], [0, 128, 128]]","[[0, 128, 128], [0, 128, 128], [9, 143, 133], [27, 158, 144], [90, 187, 178]]"
['moondance'],"[(234, 213, 224), (238, 218, 179), (238, 223, 161), (244, 240, 149), (247, 251, 180)]","[[222, 137, 125], [224, 129, 150], [226, 124, 160], [238, 117, 172], [247, 116, 162]]","[[222, 137, 125], [224, 129, 150], [226, 124, 160], [238, 117, 172], [247, 116, 162]]"
"['swing', 'of', 'spring']","[(255, 202, 149), (245, 253, 205), (193, 225, 148), (165, 225, 181), (137, 225, 218)]","[[216, 140, 162], [249, 118, 150], [218, 105, 162], [216, 100, 143], [214, 100, 123]]","[[214, 100, 123], [216, 100, 143], [216, 140, 162], [218, 105, 162], [249, 118, 150]]"
['never'],"[(118, 97, 10), (99, 101, 68), (91, 103, 87), (105, 96, 87), (135, 80, 113)]","[[107, 128, 174], [107, 121, 146], [108, 120, 135], [105, 130, 134], [105, 156, 119]]","[[105, 130, 134], [105, 156, 119], [107, 121, 146], [107, 128, 174], [108, 120, 135]]"
"['green', 'yellow', 'autumn']","[(219, 192, 30), (195, 150, 42), (155, 171, 21), (102, 103, 13), (70, 84, 19)]","[[198, 123, 203], [165, 135, 187], [170, 105, 194], [107, 117, 173], [85, 112, 162]]","[[85, 112, 162], [107, 117, 173], [165, 135, 187], [170, 105, 194], [198, 123, 203]]"
"['living', 'room']","[(231, 244, 181), (231, 231, 158), (212, 185, 71), (176, 143, 40), (154, 146, 96)]","[[239, 114, 157], [230, 117, 164], [193, 125, 187], [155, 130, 184], [153, 123, 156]]","[[153, 123, 156], [155, 130, 184], [193, 125, 187], [230, 117, 164], [239, 114, 157]]"
"['villainous', 'foil']","[(0, 0, 0), (135, 195, 104), (67, 0, 107), (255, 255, 255), (4, 4, 4)]","[[0, 128, 128], [186, 92, 168], [43, 174, 83], [255, 128, 128], [3, 128, 128]]","[[0, 128, 128], [3, 128, 128], [43, 174, 83], [186, 92, 168], [255, 128, 128]]"
"['think', 'about', 'it']","[(208, 203, 177), (172, 201, 186), (255, 228, 196), (143, 242, 209), (182, 176, 168)]","[[208, 125, 142], [200, 115, 132], [235, 132, 147], [227, 91, 135], [184, 129, 133]]","[[184, 129, 133], [200, 115, 132], [208, 125, 142], [227, 91, 135], [235, 132, 147]]"
"['expect', 'no', 'mercy']","[(172, 201, 186), (156, 133, 126), (159, 102, 83), (141, 53, 102), (84, 7, 76)]","[[200, 115, 132], [146, 136, 135], [125, 149, 148], [93, 171, 118], [46, 168, 107]]","[[46, 168, 107], [93, 171, 118], [125, 149, 148], [146, 136, 135], [200, 115, 132]]"
['goodbye'],"[(190, 214, 197), (170, 204, 184), (153, 193, 178), (145, 186, 179), (128, 185, 186)]","[[213, 117, 134], [202, 113, 134], [191, 112, 131], [185, 113, 127], [182, 110, 122]]","[[182, 110, 122], [185, 113, 127], [191, 112, 131], [202, 113, 134], [213, 117, 134]]"
['silence'],"[(135, 186, 201), (137, 172, 182), (151, 158, 180), (160, 158, 210), (180, 167, 238)]","[[185, 115, 115], [174, 118, 119], [166, 130, 116], [171, 140, 102], [183, 147, 94]]","[[166, 130, 116], [171, 140, 102], [174, 118, 119], [183, 147, 94], [185, 115, 115]]"
"['summer', 'skin']","[(209, 188, 140), (255, 190, 125), (255, 212, 128), (252, 237, 134), (182, 222, 203)]","[[196, 128, 155], [208, 144, 170], [222, 133, 175], [237, 120, 179], [217, 111, 133]]","[[196, 128, 155], [208, 144, 170], [217, 111, 133], [222, 133, 175], [237, 120, 179]]"
"['spring', 'pastels']","[(255, 140, 140), (209, 221, 147), (240, 237, 170), (194, 213, 244), (189, 238, 237)]","[[181, 171, 148], [219, 112, 163], [236, 119, 161], [216, 128, 111], [232, 112, 123]]","[[181, 171, 148], [216, 128, 111], [219, 112, 163], [232, 112, 123], [236, 119, 161]]"
['loyal'],"[(187, 143, 25), (215, 162, 21), (241, 185, 33), (41, 40, 40), (0, 0, 0)]","[[158, 135, 190], [178, 137, 198], [199, 136, 203], [41, 128, 128], [0, 128, 128]]","[[0, 128, 128], [41, 128, 128], [158, 135, 190], [178, 137, 198], [199, 136, 203]]"
['ambitious'],"[(47, 161, 80), (52, 100, 67), (30, 46, 30), (141, 140, 140), (180, 180, 180)]","[[150, 79, 161], [98, 103, 142], [44, 117, 136], [149, 128, 128], [187, 128, 128]]","[[44, 117, 136], [98, 103, 142], [149, 128, 128], [150, 79, 161], [187, 128, 128]]"
['clever'],"[(1, 49, 69), (1, 62, 90), (119, 76, 57), (159, 116, 86), (189, 151, 105)]","[[47, 121, 111], [62, 122, 106], [94, 144, 147], [134, 141, 151], [166, 136, 158]]","[[47, 121, 111], [62, 122, 106], [94, 144, 147], [134, 141, 151], [166, 136, 158]]"
['brave'],"[(106, 11, 26), (163, 3, 25), (246, 190, 38), (198, 133, 42), (143, 92, 35)]","[[55, 168, 147], [86, 185, 164], [204, 136, 204], [155, 145, 184], [111, 144, 168]]","[[55, 168, 147], [86, 185, 164], [111, 144, 168], [155, 145, 184], [204, 136, 204]]"
['guilded'],"[(116, 111, 84), (137, 132, 103), (146, 143, 112), (161, 146, 101), (186, 165, 99)]","[[119, 125, 144], [140, 125, 144], [150, 124, 145], [155, 127, 154], [174, 127, 165]]","[[119, 125, 144], [140, 125, 144], [150, 124, 145], [155, 127, 154], [174, 127, 165]]"
['highlighter'],"[(140, 255, 50), (171, 255, 50), (212, 255, 50), (233, 255, 50), (253, 255, 50)]","[[231, 65, 207], [234, 75, 209], [240, 90, 212], [244, 98, 214], [248, 106, 216]]","[[231, 65, 207], [234, 75, 209], [240, 90, 212], [244, 98, 214], [248, 106, 216]]"
['deep'],"[(46, 80, 126), (46, 88, 126), (46, 104, 126), (46, 112, 126), (46, 120, 126)]","[[86, 131, 98], [92, 126, 102], [105, 116, 110], [112, 112, 114], [118, 107, 118]]","[[86, 131, 98], [92, 126, 102], [105, 116, 110], [112, 112, 114], [118, 107, 118]]"
['opal'],"[(184, 201, 208), (114, 165, 148), (190, 231, 220), (195, 166, 189), (255, 248, 235)]","[[204, 124, 123], [163, 107, 131], [226, 113, 129], [182, 143, 120], [249, 128, 135]]","[[163, 107, 131], [182, 143, 120], [204, 124, 123], [226, 113, 129], [249, 128, 135]]"
"['rose', 'quartz']","[(244, 226, 210), (255, 245, 251), (219, 196, 223), (184, 139, 173), (249, 166, 204)]","[[232, 132, 138], [248, 132, 126], [209, 141, 118], [161, 151, 117], [197, 164, 121]]","[[161, 151, 117], [197, 164, 121], [209, 141, 118], [232, 132, 138], [248, 132, 126]]"
['pearl'],"[(240, 240, 240), (135, 201, 190), (236, 161, 180), (205, 235, 238), (238, 203, 179)]","[[242, 128, 128], [195, 105, 127], [189, 158, 130], [232, 119, 123], [214, 137, 145]]","[[189, 158, 130], [195, 105, 127], [214, 137, 145], [232, 119, 123], [242, 128, 128]]"
"['lucky', 'star', 'pale']","[(251, 255, 194), (176, 151, 255), (222, 130, 255), (164, 248, 255), (254, 160, 255)]","[[251, 117, 157], [175, 159, 79], [175, 183, 80], [236, 104, 117], [199, 177, 95]]","[[175, 159, 79], [175, 183, 80], [199, 177, 95], [236, 104, 117], [251, 117, 157]]"
['ruby'],"[(216, 59, 76), (122, 16, 69), (66, 22, 11), (122, 16, 70), (66, 2, 2)]","[[127, 189, 155], [68, 175, 125], [36, 149, 145], [68, 175, 124], [27, 158, 144]]","[[27, 158, 144], [36, 149, 145], [68, 175, 124], [68, 175, 125], [127, 189, 155]]"
"['lucky', 'star', 'bold']","[(243, 255, 46), (127, 46, 255), (225, 65, 255), (0, 184, 255), (255, 0, 154)]","[[246, 102, 216], [112, 202, 39], [150, 211, 65], [180, 114, 82], [142, 215, 118]]","[[112, 202, 39], [142, 215, 118], [150, 211, 65], [180, 114, 82], [246, 102, 216]]"
"['beginning', 'of', 'spring']","[(188, 221, 245), (204, 245, 188), (242, 199, 231), (218, 191, 227), (255, 251, 191)]","[[221, 122, 113], [236, 105, 151], [216, 148, 118], [205, 144, 114], [249, 120, 157]]","[[205, 144, 114], [216, 148, 118], [221, 122, 113], [236, 105, 151], [249, 120, 157]]"
"['because', 'we', 'love', 'until', 'the', 'end']","[(255, 136, 196), (206, 146, 164), (231, 131, 151), (195, 140, 140), (219, 137, 128)]","[[182, 180, 117], [170, 153, 128], [169, 169, 134], [162, 149, 136], [167, 158, 146]]","[[162, 149, 136], [167, 158, 146], [169, 169, 134], [170, 153, 128], [182, 180, 117]]"
['thunderstorm'],"[(45, 54, 86), (39, 52, 64), (48, 99, 156), (47, 206, 210), (22, 23, 28)]","[[59, 134, 107], [54, 126, 119], [105, 130, 92], [193, 91, 115], [20, 129, 124]]","[[20, 129, 124], [54, 126, 119], [59, 134, 107], [105, 130, 92], [193, 91, 115]]"
['leave'],"[(244, 178, 17), (201, 153, 36), (171, 152, 71), (87, 124, 159), (86, 97, 101)]","[[196, 141, 206], [168, 136, 191], [161, 125, 172], [129, 125, 105], [103, 125, 124]]","[[103, 125, 124], [129, 125, 105], [161, 125, 172], [168, 136, 191], [196, 141, 206]]"
"['words', 'from', 'a', 'fairytale']","[(69, 199, 157), (92, 169, 144), (107, 146, 118), (105, 131, 90), (89, 103, 58)]","[[185, 83, 139], [163, 98, 134], [146, 109, 139], [132, 111, 147], [106, 114, 152]]","[[106, 114, 152], [132, 111, 147], [146, 109, 139], [163, 98, 134], [185, 83, 139]]"
"['sex', 'pack']","[(249, 89, 121), (214, 42, 94), (201, 0, 132), (174, 0, 114), (69, 7, 47)]","[[154, 191, 144], [122, 195, 142], [113, 202, 113], [97, 194, 114], [34, 160, 119]]","[[34, 160, 119], [97, 194, 114], [113, 202, 113], [122, 195, 142], [154, 191, 144]]"
"['the', 'aura', 'of', 'a', 'tree']","[(201, 219, 161), (187, 204, 172), (116, 110, 107), (142, 197, 182), (140, 214, 194)]","[[216, 112, 155], [204, 116, 142], [120, 130, 130], [192, 107, 130], [205, 101, 131]]","[[120, 130, 130], [192, 107, 130], [204, 116, 142], [205, 101, 131], [216, 112, 155]]"
"['light', 'camouflage']","[(109, 88, 77), (137, 130, 104), (177, 181, 171), (97, 102, 78), (165, 154, 143)]","[[100, 135, 138], [139, 126, 143], [186, 125, 133], [107, 121, 141], [164, 130, 135]]","[[100, 135, 138], [107, 121, 141], [139, 126, 143], [164, 130, 135], [186, 125, 133]]"
"['thin', 'mints']","[(151, 140, 127), (211, 202, 184), (121, 116, 94), (177, 215, 200), (104, 140, 126)]","[[150, 130, 136], [208, 128, 138], [124, 126, 141], [212, 113, 131], [141, 112, 131]]","[[124, 126, 141], [141, 112, 131], [150, 130, 136], [208, 128, 138], [212, 113, 131]]"
"['trust', 'me']","[(49, 52, 70), (209, 233, 229), (113, 88, 70), (233, 237, 222), (206, 213, 176)]","[[56, 132, 116], [231, 119, 127], [101, 136, 142], [237, 124, 135], [214, 119, 146]]","[[56, 132, 116], [101, 136, 142], [214, 119, 146], [231, 119, 127], [237, 124, 135]]"
"['ultra', 'neon']","[(245, 51, 246), (234, 40, 246), (223, 40, 246), (192, 40, 246), (172, 40, 246)]","[[154, 217, 72], [147, 217, 68], [143, 216, 65], [130, 211, 57], [123, 208, 52]]","[[123, 208, 52], [130, 211, 57], [143, 216, 65], [147, 217, 68], [154, 217, 72]]"
['mud'],"[(169, 151, 144), (161, 141, 136), (154, 135, 132), (146, 129, 124), (137, 125, 119)]","[[163, 133, 134], [154, 135, 133], [148, 135, 132], [141, 134, 133], [136, 131, 133]]","[[136, 131, 133], [141, 134, 133], [148, 135, 132], [154, 135, 133], [163, 133, 134]]"
['tangerine'],"[(255, 217, 57), (255, 207, 57), (255, 197, 57), (255, 177, 57), (255, 167, 57)]","[[223, 126, 205], [217, 131, 203], [211, 136, 201], [199, 147, 197], [193, 152, 194]]","[[193, 152, 194], [199, 147, 197], [211, 136, 201], [217, 131, 203], [223, 126, 205]]"
['hologram'],"[(205, 247, 253), (205, 237, 253), (205, 228, 253), (205, 218, 253), (205, 206, 253)]","[[241, 116, 121], [235, 121, 117], [229, 126, 113], [222, 131, 109], [214, 137, 105]]","[[214, 137, 105], [222, 131, 109], [229, 126, 113], [235, 121, 117], [241, 116, 121]]"
['romance'],"[(212, 12, 12), (195, 19, 19), (178, 16, 16), (161, 13, 13), (150, 12, 12)]","[[114, 197, 183], [106, 192, 176], [96, 187, 173], [86, 183, 170], [80, 180, 168]]","[[80, 180, 168], [86, 183, 170], [96, 187, 173], [106, 192, 176], [114, 197, 183]]"
['python'],"[(164, 195, 48), (179, 195, 48), (194, 195, 48), (195, 189, 48), (195, 181, 48)]","[[189, 98, 193], [192, 105, 195], [195, 111, 196], [191, 114, 195], [186, 119, 193]]","[[186, 119, 193], [189, 98, 193], [191, 114, 195], [192, 105, 195], [195, 111, 196]]"
"['old', 'fashioned', 'fame']","[(42, 84, 126), (219, 197, 148), (230, 228, 179), (153, 65, 51), (4, 2, 1)]","[[88, 128, 100], [205, 129, 155], [229, 121, 152], [100, 164, 155], [2, 128, 129]]","[[2, 128, 129], [88, 128, 100], [100, 164, 155], [205, 129, 155], [229, 121, 152]]"
['working'],"[(198, 211, 215), (236, 241, 242), (0, 149, 127), (0, 90, 143), (0, 45, 71)]","[[213, 124, 125], [242, 127, 127], [141, 89, 130], [93, 126, 92], [44, 125, 108]]","[[44, 125, 108], [93, 126, 92], [141, 89, 130], [213, 124, 125], [242, 127, 127]]"
"['pastel', 'party']","[(219, 168, 216), (178, 195, 223), (187, 212, 188), (219, 164, 164), (181, 164, 208)]","[[191, 155, 111], [200, 128, 112], [210, 115, 137], [185, 148, 136], [179, 143, 108]]","[[179, 143, 108], [185, 148, 136], [191, 155, 111], [200, 128, 112], [210, 115, 137]]"
"['fire', 'from', 'the', 'tongues', 'of', 'liars']","[(152, 5, 5), (154, 47, 28), (189, 118, 71), (223, 133, 58), (227, 186, 87)]","[[80, 182, 171], [92, 172, 164], [144, 151, 165], [163, 157, 181], [197, 132, 183]]","[[80, 182, 171], [92, 172, 164], [144, 151, 165], [163, 157, 181], [197, 132, 183]]"
"['stars', 'in', 'your', 'eyes']","[(4, 56, 116), (12, 66, 126), (54, 97, 156), (80, 116, 191), (132, 149, 208)]","[[61, 138, 89], [72, 136, 89], [104, 133, 91], [126, 138, 85], [159, 136, 96]]","[[61, 138, 89], [72, 136, 89], [104, 133, 91], [126, 138, 85], [159, 136, 96]]"
"['under', 'the', 'plum', 'tree']","[(54, 16, 81), (68, 22, 101), (95, 29, 133), (126, 70, 165), (179, 138, 201)]","[[36, 160, 96], [48, 165, 91], [68, 175, 83], [103, 170, 86], [161, 155, 101]]","[[36, 160, 96], [48, 165, 91], [68, 175, 83], [103, 170, 86], [161, 155, 101]]"
"['kiss', 'me', 'hard', 'before', 'you', 'go']","[(150, 43, 70), (150, 58, 86), (165, 93, 133), (197, 121, 156), (216, 167, 189)]","[[90, 174, 138], [97, 169, 131], [125, 163, 119], [153, 162, 122], [187, 149, 124]]","[[90, 174, 138], [97, 169, 131], [125, 163, 119], [153, 162, 122], [187, 149, 124]]"
"['ocean', 'blues']","[(20, 26, 99), (25, 48, 111), (74, 83, 150), (106, 102, 199), (139, 143, 212)]","[[37, 154, 84], [56, 143, 89], [96, 144, 90], [122, 155, 78], [157, 143, 92]]","[[37, 154, 84], [56, 143, 89], [96, 144, 90], [122, 155, 78], [157, 143, 92]]"
"['shades', 'of', 'brown']","[(124, 88, 53), (102, 68, 44), (76, 43, 33), (46, 25, 21), (15, 8, 14)]","[[103, 139, 154], [82, 140, 148], [55, 142, 141], [29, 138, 135], [7, 131, 126]]","[[7, 131, 126], [29, 138, 135], [55, 142, 141], [82, 140, 148], [103, 139, 154]]"
"['emily', 'wedding']","[(248, 248, 246), (253, 252, 241), (255, 183, 201), (248, 199, 102), (255, 155, 70)]","[[249, 128, 129], [252, 126, 133], [208, 157, 129], [211, 135, 182], [186, 159, 186]]","[[186, 159, 186], [208, 157, 129], [211, 135, 182], [249, 128, 129], [252, 126, 133]]"
['bad'],"[(255, 255, 255), (180, 180, 180), (255, 255, 255), (0, 0, 0), (204, 204, 204)]","[[255, 128, 128], [187, 128, 128], [255, 128, 128], [0, 128, 128], [209, 128, 128]]","[[0, 128, 128], [187, 128, 128], [209, 128, 128], [255, 128, 128], [255, 128, 128]]"
"['spring', 'out', 'spring']","[(227, 197, 16), (238, 220, 113), (238, 187, 135), (214, 152, 177), (214, 1, 162)]","[[203, 123, 207], [223, 121, 182], [202, 140, 161], [177, 155, 124], [123, 207, 101]]","[[123, 207, 101], [177, 155, 124], [202, 140, 161], [203, 123, 207], [223, 121, 182]]"
"['candy', 'sunrise']","[(212, 108, 150), (204, 127, 158), (206, 194, 159), (216, 204, 188), (240, 240, 217)]","[[150, 174, 124], [158, 162, 124], [200, 127, 147], [211, 129, 137], [240, 124, 139]]","[[150, 174, 124], [158, 162, 124], [200, 127, 147], [211, 129, 137], [240, 124, 139]]"
['fawn'],"[(129, 63, 63), (156, 87, 87), (184, 140, 140), (193, 164, 164), (208, 193, 193)]","[[90, 156, 141], [115, 156, 141], [159, 145, 134], [178, 139, 132], [202, 133, 130]]","[[90, 156, 141], [115, 156, 141], [159, 145, 134], [178, 139, 132], [202, 133, 130]]"
['wintry'],"[(143, 199, 255), (184, 222, 255), (196, 228, 255), (232, 245, 255), (245, 250, 255)]","[[200, 124, 95], [221, 123, 108], [227, 123, 111], [244, 126, 122], [250, 127, 125]]","[[200, 124, 95], [221, 123, 108], [227, 123, 111], [244, 126, 122], [250, 127, 125]]"
"['green', 'leaves']","[(0, 255, 146), (86, 255, 0), (7, 210, 0), (157, 231, 162), (10, 137, 25)]","[[226, 54, 166], [226, 50, 212], [188, 54, 200], [218, 92, 155], [126, 76, 175]]","[[126, 76, 175], [188, 54, 200], [218, 92, 155], [226, 50, 212], [226, 54, 166]]"
"['bloody', 'surprise']","[(255, 0, 0), (229, 0, 0), (195, 0, 0), (159, 0, 0), (255, 64, 0)]","[[136, 208, 195], [122, 202, 190], [103, 193, 183], [83, 184, 175], [145, 197, 197]]","[[83, 184, 175], [103, 193, 183], [122, 202, 190], [136, 208, 195], [145, 197, 197]]"
"['cotton', 'candy']","[(255, 248, 231), (254, 234, 219), (252, 219, 206), (205, 237, 206), (156, 255, 206)]","[[249, 128, 137], [239, 132, 138], [229, 137, 139], [231, 112, 140], [237, 88, 142]]","[[229, 137, 139], [231, 112, 140], [237, 88, 142], [239, 132, 138], [249, 128, 137]]"
"['brothers', 'and', 'sisters']","[(102, 139, 152), (148, 104, 89), (77, 68, 65), (120, 80, 66), (83, 99, 105)]","[[142, 118, 117], [123, 144, 143], [76, 131, 131], [97, 143, 143], [104, 123, 123]]","[[76, 131, 131], [97, 143, 143], [104, 123, 123], [123, 144, 143], [142, 118, 117]]"
"['polluted', 'storm']","[(149, 133, 163), (175, 206, 203), (140, 171, 163), (177, 198, 216), (182, 159, 151)]","[[148, 140, 114], [205, 117, 126], [172, 116, 129], [201, 125, 117], [172, 135, 135]]","[[148, 140, 114], [172, 116, 129], [172, 135, 135], [201, 125, 117], [205, 117, 126]]"
"['polar', 'ice']","[(168, 255, 235), (95, 255, 195), (25, 255, 133), (186, 185, 219), (165, 163, 206)]","[[240, 98, 129], [231, 72, 144], [226, 53, 172], [194, 135, 111], [175, 138, 106]]","[[175, 138, 106], [194, 135, 111], [226, 53, 172], [231, 72, 144], [240, 98, 129]]"
['lilac'],"[(230, 215, 255), (231, 209, 255), (225, 196, 255), (216, 185, 255), (210, 175, 255)]","[[225, 141, 110], [222, 144, 108], [212, 149, 103], [204, 152, 98], [196, 156, 93]]","[[196, 156, 93], [204, 152, 98], [212, 149, 103], [222, 144, 108], [225, 141, 110]]"
['mute'],"[(26, 28, 32), (30, 34, 41), (31, 36, 47), (29, 33, 43), (28, 31, 39)]","[[26, 128, 125], [33, 128, 123], [36, 129, 120], [33, 129, 121], [30, 129, 122]]","[[26, 128, 125], [30, 129, 122], [33, 128, 123], [33, 129, 121], [36, 129, 120]]"
"['better', 'day']","[(213, 116, 120), (247, 144, 138), (255, 170, 140), (241, 201, 138), (71, 71, 71)]","[[153, 166, 143], [180, 166, 148], [197, 156, 156], [212, 134, 165], [77, 128, 128]]","[[77, 128, 128], [153, 166, 143], [180, 166, 148], [197, 156, 156], [212, 134, 165]]"
"['to', 'space']","[(161, 233, 247), (102, 217, 239), (4, 131, 233), (16, 68, 148), (26, 15, 53)]","[[225, 109, 114], [207, 102, 107], [138, 137, 68], [77, 144, 79], [19, 145, 105]]","[[19, 145, 105], [77, 144, 79], [138, 137, 68], [207, 102, 107], [225, 109, 114]]"
"['beautiful', 'pale', 'girl']","[(253, 248, 222), (231, 229, 217), (227, 224, 213), (225, 220, 218), (223, 216, 216)]","[[248, 125, 141], [232, 127, 134], [227, 127, 134], [225, 129, 130], [222, 130, 129]]","[[222, 130, 129], [225, 129, 130], [227, 127, 134], [232, 127, 134], [248, 125, 141]]"
"['green', 'and', 'other', 'fakes']","[(234, 225, 25), (191, 227, 54), (112, 221, 96), (38, 221, 152), (0, 202, 219)]","[[224, 112, 212], [217, 95, 202], [203, 73, 179], [201, 69, 150], [190, 93, 108]]","[[190, 93, 108], [201, 69, 150], [203, 73, 179], [217, 95, 202], [224, 112, 212]]"
['outgrown'],"[(200, 204, 167), (201, 208, 163), (207, 210, 161), (214, 212, 161), (227, 213, 152)]","[[206, 120, 146], [209, 118, 150], [211, 119, 152], [214, 121, 154], [217, 124, 160]]","[[206, 120, 146], [209, 118, 150], [211, 119, 152], [214, 121, 154], [217, 124, 160]]"
"['colder', 'isnt', 'always', 'cold', 'enough']","[(46, 83, 138), (167, 193, 226), (72, 32, 96), (179, 218, 144), (42, 126, 73)]","[[90, 134, 93], [197, 127, 109], [54, 159, 98], [211, 102, 160], [119, 90, 150]]","[[54, 159, 98], [90, 134, 93], [119, 90, 150], [197, 127, 109], [211, 102, 160]]"
['believe'],"[(124, 165, 150), (115, 189, 161), (227, 238, 187), (223, 182, 140), (171, 150, 129)]","[[164, 111, 131], [182, 98, 135], [235, 116, 152], [196, 137, 155], [162, 132, 142]]","[[162, 132, 142], [164, 111, 131], [182, 98, 135], [196, 137, 155], [235, 116, 152]]"
"['cheap', 'wine']","[(199, 163, 75), (150, 100, 38), (122, 74, 15), (84, 23, 38), (66, 5, 24)]","[[175, 131, 178], [119, 142, 170], [92, 144, 168], [47, 157, 134], [29, 157, 134]]","[[29, 157, 134], [47, 157, 134], [92, 144, 168], [119, 142, 170], [175, 131, 178]]"
"['cinnamon', 'collapses']","[(176, 106, 82), (133, 115, 97), (156, 143, 111), (176, 166, 107), (205, 206, 105)]","[[133, 153, 153], [127, 132, 141], [152, 128, 147], [173, 123, 160], [206, 114, 178]]","[[127, 132, 141], [133, 153, 153], [152, 128, 147], [173, 123, 160], [206, 114, 178]]"
